OTU,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1,ARMS_Crete_1HERP_20190612_20200618_MF90_r1,ARMS_Crete_1HERP_20190612_20200618_SF_r1,ARMS_Crete_2UBPC_20190924_20201211_MF500_r1,ARMS_Crete_2UBPC_20190924_20201211_MF90_r1,ARMS_Crete_2UBPC_20190924_20201211_SF_r1,ARMS_Gdynia_GDY1_20190619_20191029_MF500_r1,ARMS_Getxo_G2_20190624_20191016_MF100_r1,ARMS_Laeso_Laeso1_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso1_20190819_20200811_MF500_r1,ARMS_Laeso_Laeso1_20190819_20200811_SF40_r1,ARMS_Laeso_Laeso2_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso2_20190819_20200811_SF40_r1,ARMS_Laeso_Laeso3_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso3_20190819_20200811_MF500_r1,ARMS_Laeso_Laeso3_20190819_20200811_SF40_r1,ARMS_Roscoff_BasBloS1_20190612_20200527_SF40_r1,ARMS_Roscoff_BasBloS2_20190612_20200528_MF100_r1,ARMS_Roscoff_BasBloS2_20190612_20200528_MF500_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_MF100_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_MF500_r1,ARMS_Crete_1HERP_20190612_20191011_MF500_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_SF40_r1,ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH_r1,ARMS_Svalbard_S1_20180706_20190806_SF40_ETOH_r1,ARMS_Svalbard_S1_20190806_20200804_MF100_r1,ARMS_Svalbard_S1_20190806_20200804_MF500_r1,ARMS_Svalbard_S2_20180708_20190805_MF100_ETOH_r1,ARMS_Svalbard_S2_20190805_20200801_SF40_r1,ARMS_Vigo_TorallaA_20190625_20191014_SF40_r1,ARMS_Crete_1HERP_20190612_20191011_MF90_r1,ARMS_Crete_1HERP_20190612_20191011_SF_r1,ARMS_Crete_1HERP_20190612_20200210_MF500_r1,ARMS_Crete_1HERP_20190612_20200210_MF90_r1,ARMS_Crete_1HERP_20190612_20200210_SF_r1,ARMS_Crete_1HERP_20190612_20200618_MF500_r1,Classification,TAXON:NCBI_TAX_ID
Otu2226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,27,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Favosipora;rosea;NA;NA;NA;Favosipora_rosea,Favosipora_rosea:646314
Otu6,0,0,0,0,0,0,99,0,22659,6459,0,353,355,5,0,0,7,7,0,2,0,0,0,80,0,213,5677,604,27,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Phaeophyceae;Ectocarpus;NA;NA;NA;NA;NA,Ectocarpus:2879
Otu7,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,2040,0,26939,1,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Favosipora;rosea;NA;NA;NA;Favosipora_rosea,Favosipora_rosea:646314
Otu2,0,0,0,0,0,1,1449,0,1449,73620,6,2,0,19,1,0,0,5,1,0,0,3,0,8,0,24310,1099,37776,1117,1,3,0,0,0,3,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Hiatella;NA;NA;NA,Hiatella:120430
Otu24,6,2,0,0,7,0,1250,0,203,0,0,231,0,8,0,0,1,1606,12,176,0,8,0,83,13,3292,637,1761,6633,0,0,0,0,31,11,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,125,0,0,692,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu331,0,0,0,0,0,0,0,0,32,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,36,2,90,0,0,0,1,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;NA;NA;NA;NA;NA,Hypotrichia:5934
Otu352,0,0,0,0,0,0,0,0,44,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Hacrobia;Centroheliozoa;NA;NA;NA;NA;NA;NA;NA,Centroheliozoa:193537
Otu1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Astomatia;Astomatida;NA;NA;NA;NA,Astomatida:278828
Otu1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;EUG3;NA;NA;NA;NA,Eugregarinorida:35087
Otu1217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Euplotia;Aspidiscidae;Aspidisca;NA;NA;NA,Aspidisca:138848
Otu1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Nia;NA;NA;NA,Nia:155002
Otu1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;NA;NA;NA;NA;NA,Pedinellales:35680
Otu1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Clade;A;A1;NA;NA,Pelagomonadales:54409
Otu1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu1211,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;NA;NA;NA;NA;NA,Chlorarachnida:29197
Otu1210,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Penardia-lineage;NA;NA;NA;NA,Vampyrellida:1367446
Otu1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Pomatostegus;NA;NA;NA;NA;NA,Pomatostegus:479757
Otu1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Paromalostomum;NA;NA;NA,Paromalostomum:66399
Otu1322,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,10,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Oblongichytrida;Oblongichytridiaceae;Oblongichytrium;NA;NA;NA,Oblongichytrium:420539
Otu1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Protobranchia;NA;NA;NA;NA,Protobranchia:45493
Otu1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;NA;NA;NA;NA;NA,Eugregarinorida:35087
Otu1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;NA;NA;NA;NA,Malacostraca:6681
Otu1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida;Paulinellidae;Paulinella;NA;NA;NA,Paulinella:39716
Otu1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Brachiopoda;NA;NA;NA;NA;NA;NA,Brachiopoda:7568
Otu1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Solen;NA;NA;NA,Solen:165598
Otu319,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,103,29,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Trachelostylidae;Spirotrachelostyla;tani;NA;Spirotrachelostyla_tani,Spirotrachelostyla_tani:693924
Otu310,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Acinetidae;NA;NA;NA;NA,Acinetidae:239359
Otu311,2,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,116,24,8,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nemertea;Oerstedia;NA;NA;NA;NA;NA,Oerstedia:187724
Otu312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;NA;NA;NA;NA;NA,Crustacea:6657
Otu313,0,0,0,0,0,0,0,0,10,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Protogastrostyla;NA;NA;NA,Protogastrostyla:652657
Otu315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;NA;NA;NA;NA,Lecudinidae:158377
Otu316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;EUG3;NA;NA;NA;NA,Eugregarinorida:35087
Otu317,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,62,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu798,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;Botuliformidae;Botuliforma;NA;NA;NA,Botuliforma:2566138
Otu799,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;NA;NA;NA;NA,Chytridiomycetes:451435
Otu795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;NA;NA;NA;NA,Sandonidae:2586441
Otu796,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclopina;NA;NA;NA,Cyclopina:938102
Otu797,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;NA;NA;NA;NA;NA,Cryomonadida:589444
Otu790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Protula;NA;NA;NA;NA;NA,Protula:51281
Otu793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;NA;NA;NA;NA,Cephaloidophoridae:947083
Otu1037,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu1036,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Sellaphora;NA;NA;NA;NA,Sellaphora:216740
Otu1035,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Protodrilus;NA;NA;NA;NA;NA,Protodrilus:47110
Otu1034,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulida;Labyrinthulaceae;Aplanochytrium;NA;NA;NA,Aplanochytrium:87110
Otu1033,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;NA;NA;NA;NA;NA;NA,Filosa-Thecofilosea:1004930
Otu1032,0,0,0,0,0,0,0,0,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;NA;NA;NA;NA;NA,Ichthyosporea:127916
Otu1031,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ventricleftida;CCW10-lineage;NA;NA;NA;NA,Ventricleftida:1938500
Otu1030,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Reticulosida;Filoretidae;NA;NA;NA;NA,Endomyxa:2604748
Otu556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;NA;NA;NA;NA;NA,Chromadorea:119089
Otu557,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;NA;NA;NA;NA;NA,Suctoria:39462
Otu554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;NA;NA;NA;NA,Lecudinidae:158377
Otu555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,12,0,0,27,0,0,2,0,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;NA;NA;NA;NA;NA,Choreotrichida:200605
Otu552,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,15,0,5,30,0,0,8,3,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Phagomyxida;Phagomyxidae;Phagomyxa;NA;NA;NA,Phagomyxa:167534
Otu553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,21,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Apistobranchus;typicus;NA;NA;NA;Apistobranchus_typicus,Apistobranchus_typicus:195215
Otu1039,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;NA;NA;NA;NA;NA;NA;NA,Metazoa:33208
Otu1038,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;NA;NA;NA;NA;NA;NA;NA,Cercozoa:136419
Otu776,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;NA;NA;NA;NA,Pleurostomatida:197906
Otu777,0,0,0,0,0,0,12,0,12,5,0,0,0,2,0,0,0,5,1,1,0,0,0,1,0,0,11,28,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3J;NA;NA;NA;NA;NA,Opalozoa:2683629
Otu774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,3,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Bryocamptus;NA;NA;NA,Bryocamptus:298465
Otu775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida;Cyphoderiidae;NA;NA;NA;NA,Cyphoderiidae:178373
Otu772,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Centropages;NA;NA;NA,Centropages:136182
Otu773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA,Dinoflagellata:2864
Otu770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,Eukaryota:2759
Otu771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Polyplacophora;Lepidochitona;NA;NA;NA;NA,Lepidochitona:38589
Otu958,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulida;Labyrinthulaceae;Aplanochytrium;NA;NA;NA,Aplanochytrium:87110
Otu959,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;NA;NA;NA;NA,Mytiloida:6546
Otu778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,Eukaryota:2759
