Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth_min (m),Depth_max (m),Monitoring area,Anthropogenic influence,IUCN habitat type,Description,Notes,ENVO_broad_scale,ENVO_medium_scale,ENVO_local_scale,add. info,MarineRegion_larger,MarineRegion_smaller
North Sea (Belgium),BEL,BelgiumCoast,CPowerC,51.579833,2.995500,26,26,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Zeeland banks (http://marineregions.org/mrgid/2420)
Altantic coast (Norway),NOR,Bodo,GStraM,67.240217,14.711533,2,2,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"The ARMS are deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. The site GStraM is situated on sandy bottom with maerl nodules loosely occurring in the vicinity. Both ARMS (GStraM and GStraB are situated within a radius of 50 m.  ",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and maerl nodules,Vestfjorden (http://marineregions.org/mrgid/18664),Skjærstadfjord (http://marineregions.org/mrgid/63054)
Altantic coast (Norway),NOR,Bodo,GStraB,67.24035,14.711733,2,2,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs,"The ARMS is deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. GStraB is situated on boulders in the vicinity of narrowing with strong tidal currents. Both ARMS (GStraM and GStraB) are situated within a radius of 50 m.  ",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243],boulders,Vestfjorden (http://marineregions.org/mrgid/18664),Skjærstadfjord (http://marineregions.org/mrgid/63054)
Mediterranean (Greece),GRC,Crete,1HERP,35.343153,25.136605,4,4,Marina/Harbour,semi-industrial,9.6 - Subtidal Muddy,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],soft muddy seabed,Crete Island (http://marineregions.org/mrgid/48617),none
Mediterranean (Greece),GRC,Crete,2UBPC,35.34662,25.27876,21,21,Underwater Biotechnology Park,semi-industrial,9.4 - Subtidal Sandy  ,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sand,Crete Island (http://marineregions.org/mrgid/48617),none
East Greenland (Greenland),GRL,Daneborg,Daneborg2,74.3304,-20.3404,10,15,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Greenland Sea (http://marineregions.org/mrgid/25238),77C9 (http://marineregions.org/mrgid/39044)
East Greenland (Greenland),GRL,Daneborg,Daneborg3,74.3308,-20.3408,10,15,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Greenland Sea (http://marineregions.org/mrgid/25238),77C9 (http://marineregions.org/mrgid/39044)
East Greenland (Greenland),GRL,Daneborg,Daneborg1,74.3300,-20.3400,10,15,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Greenland Sea (http://marineregions.org/mrgid/25238),77C9 (http://marineregions.org/mrgid/39044)
Gulf of Aqaba (Israel),ISR,Eilat,NR1,29.50555,34.920278,10,10,Long-Term Ecological Research Site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
Gulf of Aqaba (Israel),ISR,Eilat,NR2,29.50555,34.920278,10,10,Long-Term Ecological Research Site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
Gulf of Aqaba (Israel),ISR,Eilat,NR3,29.50555,34.920278,10,10,Long-Term Ecological Research Site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
Gulf of Aqaba (Israel),ISR,Eilat,Katza1,29.520000,34.934444,10,10,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
Gulf of Aqaba (Israel),ISR,Eilat,Katza2,29.520000,34.934444,10,10,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
Gulf of Aqaba (Israel),ISR,Eilat,Katza3,29.520000,34.934444,10,10,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
Atlantic coast (Ireland),IRL,Galway,Gurr3,53.315443,-9.671564,7.2,7.2,Special Area of Conservation,protected,9.4 - Subtidal Sandy,not provided,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),none
Atlantic coast (Ireland),IRL,Galway,Gurr2,53.315675,-9.668541,6.2,6.2,Special Area of Conservation,protected,9.4 - Subtidal Sandy,not provided,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),none
Atlantic coast (Ireland),IRL,Galway,Gurr1,53.315693,-9.670278,6.6,6.6,Special Area of Conservation,protected,9.4 - Subtidal Sandy,not provided,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),none
Atlantic coast (Ireland),IRL,Galway,Gurr4,53.314849,-9.673079,6.4,6.4,Special Area of Conservation,protected,9.4 - Subtidal Sandy,not provided,Failed (as of 01-2023),marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),none
Baltic Sea (Poland),POL,Gdynia,GDY1,54.48522,18.57111,4,4,Long-Term Ecological Research Site; Marine Protected Area,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom)  ,none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],stony reef (pebbles and boulders),Zatoka Pucka (http://marineregions.org/mrgid/29088),none
Bay of Biscay (Spain),ESP,Getxo,G3,43.33843,-3.01483,5,10,Marina,semi-industrial,9.6 - Subtidal Muddy,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),none
Bay of Biscay (Spain),ESP,Getxo,G1,43.338452,-3.014833,5,10,Marina,semi-industrial,9.6 - Subtidal Muddy,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),none
Bay of Biscay (Spain),ESP,Getxo,G2,43.3385,-3.01491,5,10,Marina,semi-industrial,9.6 - Subtidal Muddy,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),none
Mediterranean (Slovenia),SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,9,Research site,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). ",none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],"sandy mud, with coarse organic elements on the surface",Gulf of Piran (http://marineregions.org/mrgid/29864),none
Mediterranean (Slovenia),SVN,GulfOfPiran,BojaVida,45.54875,13.5507,22,22,Long-Term Ecological Research Site,LHI (Low human influence),9.4 - Subtidal Sandy,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy,Gulf of Piran (http://marineregions.org/mrgid/29864),none
Mediterranean (Slovenia),SVN,GulfOfPiran,LukaKP,45.564856,13.743586,3,3,not provided,industrial,not provided,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],human construction [ENVO:00000070],marine anthropogenic structures,Gulf of Piran (http://marineregions.org/mrgid/29864),none
North Sea Skagerrak (Sweden),SWE,Koster,VH3,58.859877,11.080491,25,25,Marine Protected Area,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,Koster,VH1,58.875155,11.103194,24,24,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,Koster,VH2,58.87633,11.111884,22,22,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF1,58.859967,11.068317,10.4,10.4,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF2,58.85985,11.068717,10.7,10.7,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF3,58.8597,11.069017,10.3,10.3,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF4,58.858817,11.068783,10.5,10.5,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF5,58.858533,11.0684,11.1,11.1,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF6,58.858433,11.06825,11.1,11.1,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF7,58.858667,11.065933,12.8,12.8,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF8,58.8591,11.066567,8.6,8.6,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
North Sea Skagerrak (Sweden),SWE,KosterSeafarm,NSF9,58.858917,11.06635,10.9,10.9,Marine Protected Area; Aquaculture; Short-term,protected,9.5 - Subtidal Sandy-Mud  ,"ARMS were deployed closely around the Nordic SeaFarm seaweed farm on relatively flat, muddy softbottom, about 1.5 km west of the dropoff into the Koster trench.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy mud,Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),none
