Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,FieldReplicate,Fraction,Preservative,SequencingRunRepeat,SequencingRunComment,Filter,CrateCover,Number of images,Sequences available,SampleRep
FIN,TZS,Kummelkobben,2021-06-08,2021-11-22,ARMS_TZS_Kummelkoben_20210608_20211122_r1_s1,ARMS_TZS_Kummelkobben_20210608_20211122_MF100_DMSO,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s1
ESP,Getxo,G2,2021-07-29,2021-11-24,ARMS_Getxo_G2_20210729_20211124_r1_s2,ARMS_Getxo_G2_20210729_20211124_MF500,EMOBON_Getxo_G_20210729_20211124,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s2
SWE,Koster,VH1,2021-06-08,2022-06-08,ARMS_Koster_VH1_20210608_20220608_r1_s1,ARMS_Koster_VH1_20210608_20220608_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,Not provided,51,,s1
IRL,Galway,Gurr2,2020-07-21,2021-07-07,ARMS_Galway_Gurr2_20200721_20210707_r1_s1,ARMS_Galway_Gurr2_20200721_20210707_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,yes,21,COI; 18S,s1
FRA,Roscoff,BasBloS1,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527_r1_s1,ARMS_Roscoff_BasBloS1_20190612_20200527_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,Motile,DMSO,first sequencing run,Not provided,500,not provided,0,COI; 18S,s1
ISR,Eilat,NR1,2020-12-27,2021-12-29,ARMS_Eilat_NR1_20201227_20211229_r1_s1,ARMS_Eilat_NR1_20201227_20211229_MF100,EMOBON_Eilat_NR_20201227_20211229,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s1
Belgium,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,ARMS_BelgiumCoast_CPowerC_20210623_20220622_SF40_2,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
GRC,Crete,1HERP,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011_r1_s1,ARMS_Crete_1HERP_20190612_20191011_MF90,no replicate,Motile,Frozen,first sequencing run,Not provided,90,yes,156,COI; ITS; 18S,s1
NOR,Svalbard,S1,2018-07-06,2019-08-06,ARMS_Svalbard_S1_20180706_20190806_r1_s1,ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,not provided,197,COI; ITS; 18S,s1
SWE,Koster,VH1,2021-06-08,2022-06-08,ARMS_Koster_VH1_20210608_20220608_r1_s2,ARMS_Koster_VH1_20210608_20220608_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,Not provided,51,,s2
Belgium,BelgiumCoast,CPowerB,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerB_20231023_20240718,ARMS_BelgiumCoast_CPowerB_20231023_20240718_SF40_4,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
GBR,Plymouth,MBA1A,2020-07-17,2020-09-21,ARMS_Plymouth_MBA1A_20200717_20200921_r1_s1,ARMS_Plymouth_MBA1A_20200717_20200921_MF500,ARMS_Plymouth_MBA1_20200717_20200921,Motile,DMSO,first sequencing run,Not provided,500,not provided,17,COI; 18S,s1
BEL,BelgiumCoast,CPowerA,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerA_20220622_20230905,ARMS_BelgiumCoast_CPowerA_20220622_20230905_MF500_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_2,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,19,COI; 18S,Not provided
ESP,Vigo,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014_r1_s1,ARMS_Vigo_TorallaA_20190625_20191014_SF40,ARMS_Vigo_Toralla_20190625_20191014,Sessile,DMSO,first sequencing run,Not provided,40,not provided,21,COI; ITS; 18S,s1
SWE,SWC,Varberg3,2020-02-13,2020-06-03,ARMS_SWC_Varberg3_20200213_20200603_r1_s1,ARMS_SWC_Varberg3_20200213_20200603_SF40,ARMS_SWC_Varberg_20200213_20200603,Sessile,DMSO,first sequencing run,Not provided,40,not provided,26,COI; ITS; 18S,s1
DNK,Limfjord,Yellow8,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029_r1_s1,ARMS_Limfjord_Yellow8_20190618_20191029_MF100,ARMS_Limfjord_Limfjord_20190618_20191029,Motile,DMSO,first sequencing run,Not provided,100,not provided,99,COI; ITS; 18S,s1
ISR,Eilat,NR1,2018-10-17,2020-02-04,ARMS_Eilat_NR1_20181017_20200204_r1_s1,ARMS_Eilat_NR1_20181017_20200204_SF45,ARMS_Eilat_NR_20181017_20200204,Sessile,DMSO,first sequencing run,Not provided,45,not provided,151,COI; 18S,s1
IRL,Galway,Gurr1,2020-07-21,2021-07-08,ARMS_Galway_Gurr1_20200721_20210708_r1_s1,ARMS_Galway_Gurr1_20200721_20210708_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,yes,21,COI; 18S,s1
GBR,Plymouth,MBA2,2018-07-01,2018-10-01,ARMS_Plymouth_MBA2_20180701_20181001_r1_s1,ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,PCR amplification and sequencing will be repeated due to limited results obtained from these sequences,100,not provided,27,ITS; 18S,s1
BEL,BelgiumCoast,CPOWERB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPOWERB_20210623_20220622_r1_s3,ARMS_BelgiumCoast_CPOWERB_20210623_20220622_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s3
NOR,Svalbard,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805_r1_s1,ARMS_Svalbard_S2_20180708_20190805_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,not provided,194,COI; 18S,s1
ISR,Eilat,NR1,2018-10-17,2020-02-04,ARMS_Eilat_NR1_20181017_20200204_r1_s1,ARMS_Eilat_NR1_20181017_20200204_MF500,ARMS_Eilat_NR_20181017_20200204,Motile,DMSO,first sequencing run,Not provided,500,not provided,151,COI; 18S,s1
Belgium,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF100_2,Not provided,motile fraction,Not provided,Not provided,Not provided,100,Not provided,0,,Not provided
SWE,SWC,Marstrand1,2020-02-28,2020-05-27,ARMS_SWC_Marstrand1_20200228_20200527_r1_s1,ARMS_SWC_Marstrand1_20200228_20200527_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,18,COI; ITS; 18S,s1
FIN,TZS,Angbat,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124_r1_s2,ARMS_TZS_Angbat_20210608_20211124_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,Not provided,19,,s2
BEL,BelgiumCoast,CPowerB,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerB_20231023_20240718,ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF500_3,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
GBR,Plymouth,MBA1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001_r1_s1,ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,24,COI; 18S,s1
FIN,TZS,Kummelkobben,2020-06-08,2020-11-20,ARMS_TZS_Kummelkobben_20200608_20201120_r1_s1,ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,107,COI; ITS; 18S,s1
ESP,Vigo,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924_r1_s1,ARMS_Vigo_TorallaA_20180607_20180924_SF40_ETOH,no replicate,Sessile,EtOH,first sequencing run,Not provided,40,not provided,25,COI; ITS; 18S,s1
FIN,TZS,Angbat,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124_r1_s1,ARMS_TZS_Angbat_20210608_20211124_MF500_DMSO,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,19,,s1
FIN,TZS,Angbat,2021-06-09,2022-06-30,ARMS_TZS_Angbat_20210609_20220630_r1_s2,ARMS_TZS_Angbat_20210609_20220630_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,0,,s2
FIN,TZS,Angbat,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124_r1_s1,ARMS_TZS_Angbat_20210608_20211124_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,Not provided,19,,s1
BEL,BelgiumCoast,CoastbustersB,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_r1_s2,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,no replicate,Motile,Frozen,first sequencing run,Not provided,100,not provided,18,,s2
SWE,Koster,VH2,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608_r1_s1,ARMS_Koster_VH2_20200716_20210608_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,23,COI; 18S,s1
Belgium,BelgiumCoast,CPowerC,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerC_20231023_20240718,ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_1,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
ESP,Vigo,TorallaC,2021-07-01,2021-10-09,ARMS_Vigo_TorallaC_20210701_20211009_r2_s2,ARMS_Vigo_TorallaC_20210701_20211009_SF,ARMS_Vigo_Toralla_20210701_20211009,Sessile,DMSO,second sequencing run (repeat),Not provided,not provided,Not provided,0,,s2
ISR,Eilat,Katza1,2021-03-22,2022-03-13,ARMS_Eilat_Katza1_20210322_20220313_r1_s2,ARMS_Eilat_Katza1_20210322_20220313_SF,no replicate,Sessile,DMSO,first sequencing run,Not provided,not provided,not provided,0,,s2
NOR,Svalbard,S2,2019-08-05,2020-08-01,ARMS_Svalbard_S2_20190805_20200801_r1_s1,ARMS_Svalbard_S2_20190805_20200801_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,294,COI; 18S,s1
FRA,Roscoff,BasBloS3,2021-05-19,2022-05-12,ARMS_Roscoff_BasBloS3_20210519_20220512_r1_s1,ARMS_Roscoff_BasBloS3_20210519_20220512_MF100,EMOBON_Roscoff_BasBloS_20210519_20220509,Motile,DMSO,first sequencing run,Not provided,100,Not provided,0,,s1
ESP,Getxo,G2,2020-06-24,2020-11-03,ARMS_Getxo_G2_20200624_20201103_r1_s1,ARMS_Getxo_G2_20200624_20201103_SF40,ARMS_Getxo_G_20200624_20201103,Sessile,DMSO,first sequencing run,Not provided,40,not provided,231,COI; ITS; 18S,s1
SWE,Koster,VH2,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716_r1_s1,ARMS_Koster_VH2_20190527_20200716_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,27,COI; ITS; 18S,s1
FIN,TZS,Angbat,2018-07-11,2018-11-06,ARMS_TZS_Angbat_20180711_20181106_r1_s1,ARMS_TZS_Angbat_20180711_20181106_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,not provided,105,COI; ITS; 18S,s1
FRA,Roscoff,MarBloR1,2021-06-21,2021-10-11,ARMS_Roscoff_MarBloR1_20210621_20211011_r1_s1,ARMS_Roscoff_MarBloR1_20210621_20211011_MF500,EMOBON_Roscoff_MarBloR_20210621_20211011,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s1
SVN,GulfOfPiran,LukaKP,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622_r1_s1,ARMS_GulfOfPiran_LukaKP_20210223_20210622_MF40_DMSO,no replicate,Motile,DMSO,first sequencing run,Not provided,40,not provided,0,COI; 18S,s1
GRC,Crete,1HERP,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618_r1_s1,ARMS_Crete_1HERP_20190612_20200618_MF500,no replicate,Motile,Frozen,first sequencing run,Not provided,500,yes,175,COI; ITS; 18S,s1
GBR,Plymouth,MBA1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001_r1_s1,ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,24,COI; 18S,s1
BEL,BelgiumCoast,AJJCD78,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_r1_s1,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,no,37,COI; 18S,s1
FIN,TZS,Angbat,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124_r1_s2,ARMS_TZS_Angbat_20210608_20211124_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,19,,s2
FRA,Roscoff,BasBloS1,2020-05-29,2021-05-18,ARMS_Roscoff_BasBloS1_20200529_20210518_r1_s1,ARMS_Roscoff_BasBloS1_20200529_20210518_SFA,EMOBON_Roscoff_BasBloS_20200529_20210518,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,s1
GBR,Plymouth,MBA1C,2020-07-17,2020-09-23,ARMS_Plymouth_MBA1C_20200717_20200923_r1_s1,ARMS_Plymouth_MBA1C_20200717_20200923_SF40,ARMS_Plymouth_MBA1_20200717_20200921,Sessile,DMSO,first sequencing run,Not provided,40,not provided,18,COI; 18S,s1
FIN,TZS,Angbat,2021-06-09,2022-06-30,ARMS_TZS_Angbat_20210609_20220630_r1_s1,ARMS_TZS_Angbat_20210609_20220630_SF40_ETOH,no replicate,Sessile,EtOH,first sequencing run,Not provided,40,not provided,0,,s1
BEL,BelgiumCoast,CPowerB,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerB_20220622_20230905,ARMS_BelgiumCoast_CPowerB_20220622_20230905_MF100_2,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
ESP,Getxo,G1,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016_r1_s1,ARMS_Getxo_G1_20190624_20191016_SF40,ARMS_Getxo_G_20190624_20191016,Sessile,DMSO,first sequencing run,Not provided,40,no,134,COI; 18S,s1
SWE,SWC,Gbg1,2020-02-06,2020-05-20,ARMS_SWC_Gbg1_20200206_20200520_r1_s1,ARMS_SWC_Gbg1_20200206_20200520_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,not provided,44,COI; ITS; 18S,s1
SWE,SWC,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529_r1_s1,ARMS_SWC_Gbg4_20200206_20200529_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,18,COI; ITS; 18S,s1
