Please ignore. Just helpful for HCMR logistics --> Sequenced,Observatory-ID,ARMS-ID,MaterialSample-ID,Event-ID,Deployment Date,Collection Date,Observatory-ID,ARMS-ID,Country,Fraction_Specific,Fraction,Preservative,Filter (micrometer),Crate cover used during retrieval,OriginalSample-ID,gene_COI,COI_demultiplexed,gene_COI_negative_control,gene_ITS,ITS_demultiplexed,gene_ITS_negative_control,gene_18S,18S_demultiplexed,gene_18S_negative_control,initial number of paired-end reads,initial number of paired-end reads,initial number of paired-end reads,Cleaned sequences,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,Open access date
April 2021,BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJC86_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC86,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF100_DMSO_A,ERR7125487,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125488,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125486,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJC86_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC86,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF500_DMSO_A,ERR7125490,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125491,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125489,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJCD78,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF100_DMSO_A,ERR7125493,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125494,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125492,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJCD78,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJCD78,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_MF100_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJCD78,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJCD78,Belgium,Sessile_40um,Sessile,DMSO,40,no,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_SF40_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJCD89,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_MF100_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJCD89,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJCD89,Belgium,Sessile_40um,Sessile,DMSO,40,no,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_SF40_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,2020-06-17,2021-03-09,BelgiumCoast,BirkenfelsA,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_MF100_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,2020-06-17,2021-03-09,BelgiumCoast,BirkenfelsA,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,2020-06-17,2021-03-09,BelgiumCoast,BirkenfelsA,Belgium,Sessile_40um,Sessile,DMSO,40,no,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_SF40_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,2020-06-17,2021-03-09,BelgiumCoast,BirkenfelsB,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_MF100_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,2020-06-17,2021-03-09,BelgiumCoast,BirkenfelsB,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,2020-06-17,2021-03-09,BelgiumCoast,BirkenfelsB,Belgium,Sessile_40um,Sessile,DMSO,40,no,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_SF40_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,2021-04-22,2021-10-08,BelgiumCoast,CoastbustersA,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_MF100_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,2021-04-22,2021-10-08,BelgiumCoast,CoastbustersA,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,2021-04-22,2021-10-08,BelgiumCoast,CoastbustersA,Belgium,Sessile_40um,Sessile,DMSO,40,,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_SF40_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersB,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,BelgiumCoast,CoastbustersB,Belgium,Sessile_40um,Sessile,Frozen,40,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersB,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,BelgiumCoast,CoastbustersB,Belgium,Motile_100um,Motile,Frozen,100,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersB,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,BelgiumCoast,CoastbustersB,Belgium,Motile_500um,Motile,Frozen,500,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2022,Bodo,GStraB,ARMS_Bodo_GStraB_20190621_20201207_MF100,ARMS_Bodo_GStraB_20190621_20201207,2019-06-21,2020-12-07,Bodo,GStraB,Norway,Motile_100um,Motile,DMSO,100,,ARMS_Bodo_GStraB_190621-201207_MF100,ERR9632090,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632075,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Bodo,GStraB,ARMS_Bodo_GStraB_20190621_20201207_MF500,ARMS_Bodo_GStraB_20190621_20201207,2019-06-21,2020-12-07,Bodo,GStraB,Norway,Motile_500um,Motile,DMSO,500,,ARMS_Bodo_GStraB_190621-201207_MF500,ERR9632091,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632076,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Bodo,GStraB,ARMS_Bodo_GStraB_20190621_20201207_SF50_Α,ARMS_Bodo_GStraB_20190621_20201207,2019-06-21,2020-12-07,Bodo,GStraB,Norway,Sessile_50um,Sessile,DMSO,50,,ARMS_Bodo_GStraB_190621-201207_SF50_Α,ERR9632089,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632074,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Bodo,GStraM,ARMS_Bodo_GStraM_20190621_20201207_MF100,ARMS_Bodo_GStraM_20190621_20201207,2019-06-21,2020-12-07,Bodo,GStraM,Norway,Motile_100um,Motile,DMSO,100,,ARMS_Bodo_GStraM_190621-201207_MF100,ERR9632093,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632078,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Bodo,GStraM,ARMS_Bodo_GStraM_20190621_20201207_MF500,ARMS_Bodo_GStraM_20190621_20201207,2019-06-21,2020-12-07,Bodo,GStraM,Norway,Motile_500um,Motile,DMSO,500,,ARMS_Bodo_GStraM_190621-201207_MF500,ERR9632094,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632079,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Bodo,GStraM,ARMS_Bodo_GStraM_20190621_20201207_SF50_Α,ARMS_Bodo_GStraM_20190621_20201207,2019-06-21,2020-12-07,Bodo,GStraM,Norway,Sessile_50um,Sessile,DMSO,50,,ARMS_Bodo_GStraM_190621-201207_SF50_Α,ERR9632092,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632077,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Motile_125um,Motile,DMSO,125,Yes,Motile 125 μm DMSO,ERR9632063,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632060,MiSeq (indices),ERR9632062,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
January 2022,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Motile_125um,Motile,EtOH,125,Yes,Motile 125 μm ETOH,ERR9632064,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632061,MiSeq (indices),ERR9632062,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
July 2019,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Motile_500um,Motile,DMSO,500,Yes,Motile 500 μm DMSO,ERR3460468,MiSeq (indices),ERR3460471,ERR4018431,MiSeq (indices),ERR4018475,ERR4605086,MiSeq (indices) / cutadapt (primers),ERR4605902,187685,112970,947878,,Fail,Warn,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Motile_500um,Motile,EtOH,500,Yes,Motile 500 μm ETOH,ERR3460469,MiSeq (indices),ERR3460471,ERR4018432,MiSeq (indices),ERR4018475,ERR4605087,MiSeq (indices) / cutadapt (primers),ERR4605902,136265,118581,1082571,,Warn,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Plankton_250um,Plankton,EtOH,250,N/A (Not relevant information for this fraction/sample),Plankton Her Port ETOH,N/A (no successful amplification),N/A (no successful amplification),N/A (no successful amplification),ERR4018434,MiSeq (indices),ERR4018475,ERR4605089,MiSeq (indices) / cutadapt (primers),ERR4605902,,234862,939411,,N/A,Fail,Fail,N/A,Warn,Pass,N/A,Pass,Pass,N/A,Pass,Warn,N/A,Fail,Fail,2020-04-14
July 2019,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_SED,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Sediment,Sediment,Frozen,N/A (No filter was used),N/A (Not relevant information for this fraction/sample),Sediment Her Port,ERR3460470,MiSeq (indices),ERR3460471,ERR4018433,MiSeq (indices),ERR4018475,ERR4605088,MiSeq (indices) / cutadapt (primers),ERR4605902,146303,116395,909974,,Warn,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Sessile,Sessile,DMSO,N/A (No filter was used),N/A (Not relevant information for this fraction/sample),Sessile DMSO,ERR3460466,MiSeq (indices),ERR3460471,ERR4018429,MiSeq (indices),ERR4018475,ERR4605084,MiSeq (indices) / cutadapt (primers),ERR4605902,132834,125285,831736,,Warn,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,Crete,1HERP,Greece,Sessile,Sessile,EtOH,N/A (No filter was used),N/A (Not relevant information for this fraction/sample),Sessile ETOH,ERR3460467,MiSeq (indices),ERR3460471,ERR4018430,MiSeq (indices),ERR4018475,ERR4605085,MiSeq (indices) / cutadapt (primers),ERR4605902,266983,104553,982067,,Fail,Warn,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011_MF500,ARMS_Crete_1HERP_20190612_20191011,2019-06-12,2019-10-11,Crete,1HERP,Greece,Motile_500um,Motile,Frozen,500,Yes,2019_1HERP_ARMS2_MF500,ERR7125537,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125538,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125536,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011_MF90,ARMS_Crete_1HERP_20190612_20191011,2019-06-12,2019-10-11,Crete,1HERP,Greece,Motile_90um,Motile,Frozen,90,Yes,2019_1HERP_ARMS2_MF90,ERR7125540,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125541,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125539,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011_SF,ARMS_Crete_1HERP_20190612_20191011,2019-06-12,2019-10-11,Crete,1HERP,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),N/A (Not relevant information for this fraction/sample),2019_1HERP_ARMS2_SF1,ERR7125543,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125544,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125542,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20200210_MF500,ARMS_Crete_1HERP_20190612_20200210,2019-06-12,2020-02-10,Crete,1HERP,Greece,Motile_500um,Motile,Frozen,500,Yes,2020_1HERP_ARMS3_MF500,ERR7125546,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125547,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125545,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20200210_MF90,ARMS_Crete_1HERP_20190612_20200210,2019-06-12,2020-02-10,Crete,1HERP,Greece,Motile_90um,Motile,Frozen,90,Yes,2020_1HERP_ARMS3_MF90,ERR7125549,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125550,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125548,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20200210_SF,ARMS_Crete_1HERP_20190612_20200210,2019-06-12,2020-02-10,Crete,1HERP,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),N/A (Not relevant information for this fraction/sample),2020_1HERP_ARMS3_SF1,ERR7125552,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125553,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125551,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20200618_MF500,ARMS_Crete_1HERP_20190612_20200618,2019-06-12,2020-06-18,Crete,1HERP,Greece,Motile_500um,Motile,Frozen,500,Yes,ARMS4_200618_Motile_500,ERR7125555,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125556,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125554,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
