Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth (m),Field replicates,Monitoring area,Habitat keywords (env_local),Notes,
Gulf of Aqaba (Israel),ISR,Eilat,Katza2,29.520000,34.934444,10,y; Katza,Industrial port,industrial,"Even tho these sites are at the same place, the sampling events date ranges are different (were retrieved at different times) and hence they are not really field replicates",
West Greenland (Greenland),GRL,Nuuk,Nuuk1,64.1405,-51.3906,15,y; Nuuk,LTER site,LHI (Low human influence),,
West Greenland (Greenland),GRL,Nuuk,Nuuk2,64.1404,-51.3904,15,y; Nuuk,LTER site,LHI (Low human influence),,
West Greenland (Greenland),GRL,Nuuk,Nuuk3,64.1408,-51.3908,15,y; Nuuk,LTER site,LHI (Low human influence),,
East Greenland (Greenland),GRL,Daneborg,Daneborg1,74.24005445,-20.33723818,15,y; Danborg,LTER site,LHI (Low human influence),,
East Greenland (Greenland),GRL,Daneborg,Daneborg2,74.24005445,-20.33723818,15,y; Danborg,LTER site,LHI (Low human influence),,
East Greenland (Greenland),GRL,Daneborg,Daneborg3,74.24005445,-20.33723818,15,y; Danborg,LTER site,LHI (Low human influence),,
North Sea (Denmark),DNK,Limfjord,Yellow8,56.902366,9.055797,4,y; Limfjord,LTER site,LHI (Low human influence),,
North Sea (Denmark),DNK,Limfjord,Green33,56.901246,9.058189,4,y; Limfjord,LTER site,LHI (Low human influence),,
North Sea (Denmark),DNK,Limfjord,Red2,56.89985,9.05663333,4,y; Limfjord,LTER site,LHI (Low human influence),,
North Sea Kattegat (Denmark),DNK,Laeso,Laeso1,57.25689,11.14193,10,y: Laso,LTER site,LHI (Low human influence),"Laeso1,2,3 i plutof and here but in omics and event tab they are bluereef1,2,3: need to be sure how these match to each other",
North Sea Kattegat (Denmark),DNK,Laeso,Laeso2,57.25692,11.14197,10,y: Laso,LTER site,LHI (Low human influence), , 
North Sea Kattegat (Denmark),DNK,Laeso,Laeso3,57.25692,11.14199,10,y: Laso,LTER site,LHI (Low human influence), ,
Bay of Biscay (Spain),ESP,Getxo,G1,43.338452,-3.014833,5,y; Getxo,Marina,semi-industrial,,
Bay of Biscay (Spain),ESP,Getxo,G2,43.3385,-3.01491,5,y; Getxo,Marina,semi-industrial,,
Bay of Biscay (Spain),ESP,Getxo,G3,43.33843,-3.01483,5,y; Getxo,Marina,semi-industrial,,
Altantic coast (Norway),NOR,Bodo,GStraM,67.240217,14.711533,2,y; GStra,MPA,protected,,
Altantic coast (Norway),NOR,Bodo,GStraB,67.24035,14.711733,2,y; GStra,MPA,protected,,
Atlantic coast (Ireland),IRL,Galway,Gurr1,53.315693,-9.670278,8,y; Gurr,SAC,protected,"true replicates in space and time as all were sampled with 48 hours of each other on every deployment; Katrin, the lat / longs for Gurr 1, 2 and 3 are not precisely the same as on PlutoF...where did these come from?",
Atlantic coast (Ireland),IRL,Galway,Gurr2,53.315693,-9.670278,8,y; Gurr,SAC,protected,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,
Atlantic coast (Ireland),IRL,Galway,Gurr3,53.315693,-9.670278,8,y; Gurr,SAC,protected,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,
Atlantic coast (Ireland),IRL,Galway,Gurr4,53.314849,-9.673079,6.4,y; Gurr,SAC,protected,Gurr 4 not being used as 4th replicate was impossible to retrieve / process in the days available,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP4,54.482,8.395,not provided,failed,not provided,protected,Need depth and Monitoring area and more precise coordinates,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP3,54.482,8.395,not provided,failed,not provided,protected, ,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP2,54.482,8.395,not provided,failed,not provided,protected, ,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP1,54.482,8.395,not provided,failed,not provided,protected, ,
North Sea (Belgium),BEL,BelgiumCoast,AZFPout,51.68821,2.84921,38,y; AZFPout,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,AZFPin,51.66522,2.82558,37,y; AZFPin,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,y; AZBE1,Marina,semi-industrial,,
North Sea (Belgium),BEL,BelgiumCoast,AZBW1,51.362906,3.183634,12,y; AZBW1,Marina,semi-industrial,,
North Sea (Belgium),BEL,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,AJJ,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,AJJC86,51.65264,2.79369998,37,AJJ,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,AJJCD78,51.65374944,2.79602577,38,AJJ,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,AJJCD89,51.64505,2.793074,18.64,AJJ,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsA,51.64816667,2.53583333,38.81,y; Birkenfels,near ship wreck with very fine silt ,semi-industrial,,
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsB,51.64816667,2.53583333,38.81,y; Birkenfels,near ship wreck with very fine silt ,semi-industrial,,
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersA,51.11485,2.57858333,9,y; Coastbusters,bioanchoring facility Coastbusters project,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,AJJBC89,51.64971,2.789374,20.815624,AJJ,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,CPowerA,51.579833,2.995500,26,y; CPower,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,CPowerB,51.579833,2.995500,26,y; CPower,Wind farm,LHI (Low human influence),,
North Sea (Belgium),BEL,BelgiumCoast,CPowerC,51.579833,2.995500,26,y; CPower,Wind farm,LHI (Low human influence),,
Italy,ITA,RavHarbour,RavH3,44.421488,12.209497,1.5,y; RavH,Harbour,industrial,,
Italy,ITA,RavHarbour,RavH2,44.421488,12.209497,1.5,y; RavH,Harbour,industrial,,
Italy,ITA,RavHarbour,RavH1,44.421488,12.209497,1.5,y; RavH,Harbour,industrial,,
Italy,ITA,RavMarine,RavM2,44.492426,12.287623,1.5,y; RavM,Marina,semi-industrial,,
Italy,ITA,RavMarine,RavM3,44.492426,12.287623,1.5,y; RavM,Marina,semi-industrial,,
Italy,ITA,RavMarine,RavM1,44.492426,12.287623,1.5,y; RavM,Marina,semi-industrial,,
Italy,ITA,AdriaticEastCoast,Ven1,45.314167,12.508333,16,y; Ven,LTER site,LHI (Low human influence),,
Italy,ITA,AdriaticEastCoast,Ven2,45.314167,12.508333,16,y; Ven,LTER site,LHI (Low human influence),,
Italy,ITA,AdriaticEastCoast,Ven3,45.314167,12.508333,16,y; Ven,LTER site,LHI (Low human influence),,
