Atlantic coast (Spain),ESP,Vigo,TorallaD,42.2256,-8.7606,7,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,Baltic Sea (Finland),FIN,TZS,Angbat,59.841505,23.248879,4,none,MPA; LTER site; continuous hydrographic monitoring,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Angbatsbryggan is a vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,,
Baltic Sea (Finland),FIN,TZS,Kummelkobben,59.86442,23.265084,6,none,LTER site; close to industrial port; continuous hydrographic monitoring,LHI (Low human influence),,,,
Baltic Sea (Finland),FIN,TZS,Spikarna,59.81094,23.206216,3,none,MPA; LTER site,LHI (Low human influence),9.4 - Subtidal Sandy  ,"Spikarna is a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat.",,
Baltic Sea (Poland),POL,Gdynia,GDY1,54.48522,18.57111,4,none,LTER site; MPA,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom)  ,,
Bay of Biscay (Spain),ESP,Getxo,G1,43.338452,-3.014833,5,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,
Bay of Biscay (Spain),ESP,Getxo,G2,43.3385,-3.01491,5,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,
Bay of Biscay (Spain),ESP,Getxo,G3,43.33843,-3.01483,5,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,
British channel (France),FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,
British channel (France),FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,
British channel (France),FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,
British channel (France),FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,
British channel (France),FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,
British channel (France),FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,
British channel (UK),GBR,Plymouth,MBA1,50.3674,-4.1552,1,MBA ,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,
British channel (UK),GBR,Plymouth,MBA1A,50.3673,-4.1554,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,
British channel (UK),GBR,Plymouth,MBA1B,50.3668,-4.1561,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,
British channel (UK),GBR,Plymouth,MBA1C,50.3674,-4.1544,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,
British channel (UK),GBR,Plymouth,MBA2,50.350134,-4.159167,10,MBA,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,
East Greenland (Greenland),GRL,Daneborg,Daneborg1,74.3300,-20.3400,15,Danborg,LTER site,LHI (Low human influence),,,,
East Greenland (Greenland),GRL,Daneborg,Daneborg2,74.3304,-20.3404,15,Danborg,LTER site,LHI (Low human influence),,,,
East Greenland (Greenland),GRL,Daneborg,Daneborg3,74.3308,-20.3408,15,Danborg,LTER site,LHI (Low human influence),,,,
Gulf of Aqaba (Israel),ISR,Eilat,Katza1,29.520000,34.934444,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,
Gulf of Aqaba (Israel),ISR,Eilat,Katza2,29.520000,34.934444,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,
Gulf of Aqaba (Israel),ISR,Eilat,NR1,29.50555,34.920278,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,
Gulf of Aqaba (Israel),ISR,Eilat,NR2,29.50555,34.920278,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,
Italy,ITA,AdriaticEastCoast,Ven1,45.316667,12.50000,16,Ven,LTER site,LHI (Low human influence),,,,
Italy,ITA,AdriaticEastCoast,Ven2,45.316667,12.5000,16,Ven,LTER site,LHI (Low human influence),,,,
Italy,ITA,AdriaticEastCoast,Ven3,45.316667,12.5000,16,Ven,LTER site,LHI (Low human influence),,,,
Italy,ITA,RavHarbour,RavH1,44.421488,12.209497,1.5,RavH,Harbour,industrial,,,,
Italy,ITA,RavHarbour,RavH2,44.421488,12.209497,1.5,RavH,Harbour,industrial,,,,
Italy,ITA,RavHarbour,RavH3,44.421488,12.209497,1.5,RavH,Harbour,industrial,,,,
Italy,ITA,RavMarina,RavM1,44.492426,12.287623,1.5,RavM,Marina,semi-industrial,,,,
Italy,ITA,RavMarina,RavM2,44.492426,12.287623,1.5,RavM,Marina,semi-industrial,,,,
Italy,ITA,RavMarina,RavM3,44.492426,12.287623,1.5,RavM,Marina,semi-industrial,,,,
Mediterranean (Greece),GRC,Crete,1HERP,35.343153,25.136605,4,none,Marina/Harbour,semi-industrial,9.6 - Subtidal Muddy  ,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,,
Mediterranean (Greece),GRC,Crete,2UBPC,35.34662,25.27876,21,none,UBP,semi-industrial,9.4 - Subtidal Sandy  ,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,,
Mediterranean (Slovenia),SVN,GulfOfPiran,BojaVida,45.54875,13.5507,22,none,LTER site,LHI (Low human influence),,, , 
Mediterranean (Slovenia),SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,none,Research site,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). ", ,
Mediterranean (Slovenia),SVN,GulfOfPiran,LukaKP,45.564856,13.743586,3,none,not provided,industrial,,, , 
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP1,54.482,8.395,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP2,54.482,8.395,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP3,54.482,8.395,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP4,54.482,8.395,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),
North Sea (Belgium),BEL,BelgiumCoast,AJJBC89,51.64971,2.789374,20.82,AJJ,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,AJJ,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,AJJC86,51.65264,2.79369998,37,AJJ,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,AJJCD78,51.65374944,2.79602577,38,AJJ,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,AJJCD89,51.64505,2.793074,18.64,AJJ,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,none,Marina,semi-industrial,"12.2 - Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.  ","ARMS was deployed near marina of Zeebrugge, ARMS attached to tripod, retrieved with acoustic release (no cover crate). Substrate was fine sand-silt (soft-bottom). Very fine silt made filtrations heavy.  ",,
North Sea (Belgium),BEL,BelgiumCoast,AZBW1,51.362906,3.183634,12,none,Marina,semi-industrial,,,,
North Sea (Belgium),BEL,BelgiumCoast,AZFPin,51.66522,2.82558,37,none,Wind farm,LHI (Low human influence),9.5 - Subtidal Sandy-Mud  ,"Inside a windmill park. ARMS was deployed on a Acoustic Zooplankton Fish Profiler (AZFP's). As we were unable to dive, we undoubtedly lost most of the motile fraction. Still, many motile specimens were recorded (albeit in a rather low species diversity at first sight). The AZFP frame itself was also heavily occupied with motile and sessile organisms.",,
North Sea (Belgium),BEL,BelgiumCoast,AZFPout,51.68821,2.84921,38,none,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsA,51.64816667,2.53583333,38.81,Birkenfels,near ship wreck with very fine silt ,semi-industrial,,,,
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsB,51.64816667,2.53583333,38.81,Birkenfels,near ship wreck with very fine silt ,semi-industrial,,,,
North Sea (Belgium),BEL,BelgiumCoast,CPowerA,51.579833,2.995500,26,CPower,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,CPowerB,51.579833,2.995500,26,CPower,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,CPowerC,51.579833,2.995500,26,CPower,Wind farm,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersA,51.11486388,2.57857672,9,none,bioanchoring facility Coastbusters project,LHI (Low human influence),,,,
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersB,51.11529044,2.57995513,9,none,bioanchoring facility Coastbusters project,LHI (Low human influence),,, ,
North Sea (Denmark),DNK,Limfjord,Green33,56.90155,9.05516667,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,
North Sea (Denmark),DNK,Limfjord,Red2,56.89985,9.05663333,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,
North Sea (Denmark),DNK,Limfjord,Yellow8,56.90131667,9.05733333,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,
North Sea Kattegat (Denmark),DNK,Laeso,Laeso1,57.25689,11.14193,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,
North Sea Kattegat (Denmark),DNK,Laeso,Laeso2,57.25692,11.14197,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", , 
North Sea Kattegat (Denmark),DNK,Laeso,Laeso3,57.25692,11.14199,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,
North Sea Kattegat (Sweden),SWE,SWC,Bjorko1,57.717984,11.679989,2,none,Marina,semi-industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg1,57.664805,11.714735,6,none,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg2,57.664608,11.732876,5,none,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg3,57.680533,11.740578,5,none,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg4,57.680805,11.728331,6,none,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg1,56.026272,12.695728,2,Helsingborg,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg2,56.018061,12.700541,2,Helsingborg,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Hjuvik1,57.703221,11.711363,2,none,Marina,semi-industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand1,57.914434,11.594154,5,Marstrand,Marina,semi-industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand2,57.903512,11.581548,5,Marstrand,Marina,semi-industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand3,57.889278,11.585722,2,Marstrand,Marina,semi-industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Preemraff1,58.3533,11.43486,3,Preemraff,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Preemraff2,58.35405,11.43394,3,Preemraff,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Varberg1,57.1133741,12.2299832,2,Varberg,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Varberg2,57.1126278,12.2302732,2,Varberg,Industrial port,industrial,,,,
North Sea Kattegat (Sweden),SWE,SWC,Varberg3,57.1107004,12.2439775,2,Varberg,Industrial port,industrial,,,,
North Sea Skagerrak (Sweden),SWE,Koster,VH1,58.875155,11.103194,24,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,
North Sea Skagerrak (Sweden),SWE,Koster,VH2,58.87633,11.111884,22,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,
North Sea Skagerrak (Sweden),SWE,Koster,VH3,58.859877,11.080491,25,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,
Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth (m),Field replicates,Monitoring area,Habitat keywords (env_local),IUCN habitat type,Description,Notes,
Svalbard (Norway),NOR,Svalbard,S1,78.21302778,15.23361111,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,
Svalbard (Norway),NOR,Svalbard,S1A,78.21302778,15.23361111,14,S1,LTER site,LHI (Low human influence),,,,
Svalbard (Norway),NOR,Svalbard,S1B,78.21302778,15.23361111,14,S1,LTER site,LHI (Low human influence),,,,
Svalbard (Norway),NOR,Svalbard,S1C,78.21302778,15.23361111,14,S1,LTER site,LHI (Low human influence),,,,
Svalbard (Norway),NOR,Svalbard,S2,78.18833333,15.14472222,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,
West Greenland (Greenland),GRL,Nuuk,Nuuk1,64.1405,-51.3906,15,Nuuk,LTER site,LHI (Low human influence),,,,
West Greenland (Greenland),GRL,Nuuk,Nuuk2,64.1404,-51.3904,15,Nuuk,LTER site,LHI (Low human influence),,,,
West Greenland (Greenland),GRL,Nuuk,Nuuk3,64.1408,-51.3908,15,Nuuk,LTER site,LHI (Low human influence),,,,
