ASV_number:amplicon,ARMS_Limfjord_Green33_20190618_20191029_MF500_r1,ARMS_Limfjord_Green33_20190618_20191029_SF40_r1,ARMS_Limfjord_Green33_20190618_20191029_MF100_r1,ARMS_Limfjord_Red2_20190618_20191029_MF500_r1,ARMS_Limfjord_Red2_20190618_20191029_SF40_r1,ARMS_Limfjord_Red2_20190618_20191029_MF100_r1,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO_r1,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO_r1,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO_r1,ARMS_Koster_VH3_20180418_20190527_MF500_DMSO_r1,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO_r1,ARMS_Vigo_TorallaA_20190625_20191014_MF100_r1,ARMS_Vigo_TorallaA_20190625_20191014_MF500_r1,ARMS_Vigo_TorallaB_20190625_20191014_MF100_r1,ARMS_Vigo_TorallaB_20190625_20191014_MF500_r1,ARMS_Vigo_TorallaC_20190625_20191014_MF100_r1,ARMS_Vigo_TorallaC_20190625_20191014_MF500_r1,ARMS_Roscoff_MarBloR1_20190612_20190916_MF100_r1,ARMS_Roscoff_MarBloR1_20190612_20190916_MF500_r1,ARMS_Roscoff_MarBloR1_20190612_20190916_SF40_r1,ARMS_Roscoff_MarBloR2_20190612_20190917_MF100_r1,ARMS_Roscoff_MarBloR2_20190612_20190917_MF500_r1,ARMS_Roscoff_MarBloR2_20190612_20190917_SF40_r1,ARMS_Roscoff_MarBloR3_20190612_20190918_MF100_r1,ARMS_Roscoff_MarBloR3_20190612_20190918_MF500_r1,ARMS_Roscoff_MarBloR3_20190612_20190918_SF40_r1,ARMS_Plymouth_MBA1A_20190716_20190916_MF500_r1,ARMS_Plymouth_MBA1A_20190716_20190916_MF100_r1,ARMS_Plymouth_MBA1A_20190716_20190916_SF40_r1,ARMS_Plymouth_MBA1B_20190716_20190918_MF500_r1,ARMS_Plymouth_MBA1B_20190716_20190918_MF100_r1,ARMS_Plymouth_MBA1B_20190716_20190918_SF40_r1,ARMS_Plymouth_MBA1C_20190716_20190920_MF500_r1,ARMS_Plymouth_MBA1C_20190716_20190920_MF100_r1,ARMS_Plymouth_MBA1C_20190716_20190920_SF40_r1,ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1,ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO_r1,ARMS_Limfjord_Yellow8_20190618_20191029_MF500_r1,ARMS_Limfjord_Yellow8_20190618_20191029_SF40_r1,ARMS_Limfjord_Yellow8_20190618_20191029_MF100_r1,Classification,TAXON:NCBI_TAX_ID
ASV_4:be77528011edee403786ae573192ebdb4a48c7bf,0,750,4759,0,1675,4982,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,103,4102,Eukaryota;Brachiopoda;Rhynchonellata;Terebratulida;Terebratellidae;Magellania;Magellania joubini,Magellania joubini:147652
ASV_8:46538bca68a9bffd4f6df5fe13a9b2342c1fcc03,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,1902,0,55,0,204,71,2498,367,0,0,8,27,0,17,41,0,17,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Artacama;Artacama crassa,Artacama crassa:2716576
ASV_9:70a3cf555c02dd4380c20d99a3951784168fbe28,0,0,14,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,1001,0,0,0,17,0,2,0,6722,26,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Psamathe;Psamathe fusca,Psamathe fusca:378372
ASV_10:05f8f586693fa1ccab644f89f4e0abbc46e15958,1969,213,10,32,222,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,261,350,Eukaryota;Arthropoda;Insecta;Lepidoptera;Geometridae;Racotis;Racotis zebrina,Racotis zebrina:2568825
ASV_11:1e64a75c051f692c463ce61865d9c7994d39fb7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,1,53,0,26,42,82,10,95,48,520,121,27,920,182,450,1604,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Tricellaria;Tricellaria occidentalis,Tricellaria occidentalis:991043
ASV_12:2027a56b30123bcdb72d1dc463706dcf6f84247a,0,29,0,0,0,0,1390,41,1113,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Eukaryota;Porifera;Demospongiae;Dendroceratida;Halisarcidae;Halisarca;Halisarca dujardini,Halisarca dujardini:2583056
ASV_13:9dede8504f67811020f0288db86ed6925e96c691,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,261,2354,0,26,0,146,12,942,0,2,0,9,146,0,67,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Laonice;Laonice cirrata,Laonice cirrata:868032
ASV_14:a643c4f0f438e2f7c750bf527927598d1600e682,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,1323,7,1,532,0,28,639,0,0,0,0,0,Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides violaceus,Botrylloides violaceus:581057
ASV_16:cef2a7e4382d688dfb3cee5af0fb412397a9d8ea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,1,0,81,3,605,252,0,580,39,29,1887,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula neritina,Bugula neritina:10212
ASV_18:03dc27144555c969822476dafbd438c65d9ed102,780,1017,7,0,566,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia geniculata,Obelia geniculata:185004
ASV_19:08213a095e9a1fd0958c9b64788fe02c539e89e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,6,20,1744,14,62,269,139,63,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza subtenella,Phytomyza subtenella:498704
ASV_20:634b14d5b8beea40642a76fdb31b57f84687ea8e,0,18,1481,0,194,2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,579,Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Neotibicen;Neotibicen pruinosus,Neotibicen pruinosus:1699734
ASV_22:e0cd0ceeab9b2b466d113ee9bbc36496d574ca5b,0,0,0,0,0,0,5,5,2,152,3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Malacostraca;Decapoda;Galatheidae;Galathea;Galathea punctata,Galathea punctata:1698662
ASV_23:f045cf9d1db298e06a76e6d3be5f98e020ea9847,2,1142,29,8,1066,4,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1498,4,Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Pomatoceros;Pomatoceros triqueter,Pomatoceros triqueter:1928863
ASV_24:f8808f76da28cf9ecc1c4e13df733cbb3439a10a,0,1,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,27,10,1,11,0,1185,5,5,1406,6,10,462,19,5,554,2,9,398,0,0,0,0,0,Eukaryota;Chordata;Ascidiacea;Phlebobranchia;Cionidae;Ciona;Ciona roulei,Ciona roulei:439887
ASV_25:008820c960c7e107a2111fed7bc1161f44f451a2,0,1,0,6,0,0,2,6,112,0,0,0,0,0,0,0,19,0,32,0,0,0,1236,2,27,748,2,0,5,0,0,15,0,0,15,0,0,0,0,0,Eukaryota;Nematoda;Chromadorea;Rhabditida;Heterakidae;Heterakis;Heterakis dispar,Heterakis dispar:596441
ASV_27:3fcf20ad049113acef91ed9c6c181bae0d479f5d,4248,5,54,0,301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eukaryota;Arthropoda;Malacostraca;Decapoda;Polybiidae;Liocarcinus;Liocarcinus navigator,Liocarcinus navigator:557283
ASV_28:555b4c9c3487fc8efa630e35efc48f6899bcf0b9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,74,4,279,0,116,67,46,152,28,63,368,117,127,2750,26,585,1078,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;Watersipora subtorquata,Watersipora subtorquata:193294
ASV_29:b644ee51a1151bcfc34d4542b01ac2c78e111c5b,22,612,63,21,213,9,4,0,0,82,0,0,0,0,0,0,0,13,16,0,74,0,76,19,41,47,0,0,0,0,0,0,0,0,0,0,0,558,144,80,Eukaryota;Arthropoda;Malacostraca;Decapoda;Raninidae;Umalia;Umalia orientalis,Umalia orientalis:1603554
ASV_30:efe108c872b4d62fb194186613bb82aad85d75c0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,1,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;Alitta succinea,Alitta succinea:981110
ASV_31:100a9e0d7a4f8f78856b3f354ac4dc11abd7702f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,56,0,0,37,1150,0,96,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Amblyosyllis;Amblyosyllis idae,Amblyosyllis idae:2562955
ASV_32:1b42bc46f3135e96e2720adc28869e2a5f078aa3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,113,0,73,0,10,190,1417,52,0,0,0,0,0,85,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Sigalionidae;Euthalenessa;Euthalenessa festiva,Euthalenessa festiva:2153328
ASV_33:343ff43c70265852703812efeb92f45bee4eeb5a,0,0,0,0,0,0,2,2552,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Tropocyclops;Tropocyclops ishidai,Tropocyclops ishidai:1795161
ASV_34:518835849cc3cd6b4fffaf817ed50f02b83f3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,36,165,12,237,188,0,616,1,38,1468,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Syllis;Syllis monilata,Syllis monilata:418375
ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,614,9,100,47,0,12,0,0,2,62,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,489,5,117,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gobius;Gobius niger,Gobius niger:85417
ASV_36:82c2e0db67479b8e47b5fd247dfe49be2d697b4c,0,0,0,0,0,0,64,324,1904,26,72,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Cribrilinidae;Cribrilina;Cribrilina mutabilis,Cribrilina mutabilis:2865492
ASV_37:ab789c931c99da26cb1b44fca8b75edda8ff37c0,0,0,0,0,0,0,1687,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Mollusca;Gastropoda;Neogastropoda;Cancellariidae;Bivetia;Bivetia indentata,Bivetia indentata:913991
ASV_38:d25bb982bfd87b5654f91e5742b2fc9b868d2814,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,1501,0,0,0,Eukaryota;Arthropoda;Insecta;Blattodea;Termitidae;Inquilinitermes;Inquilinitermes inquilinus,Inquilinitermes inquilinus:1934498
ASV_39:dab15cd3252f9173c39a256fe2e172058aa314bf,0,0,0,0,0,0,144,274,1630,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Crocodylia;Crocodylia;Alligatoridae;Alligator;Alligator sinensis,Alligator sinensis:38654
ASV_40:24492a8205abf08c866fc3db3f0a21a0024b37fb,0,1,4,102,237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,47,204,Eukaryota;Echinodermata;Echinoidea;Echinoida;Echinidae;Psammechinus;Psammechinus miliaris,Psammechinus miliaris:7660
ASV_41:75b1e0a051a6f77bb0ce61b3b749a0fd093e78f6,0,1,0,0,0,0,447,4,18,2899,0,0,0,0,0,0,0,2,383,0,1,0,0,0,5,1,0,0,1,38,0,78,227,1,61,0,0,0,1,0,Eukaryota;Platyhelminthes;Rhabditophora;Polycladida;Pseudocerotidae;Pseudoceros;Pseudoceros goslineri,Pseudoceros goslineri:1932137
ASV_42:76f9e775bdad3d9ede6be88b43a568cfafaea732,120,20,106,33,47,102,0,2,2,3,0,0,0,0,0,0,0,5,2,0,10,0,0,8,0,2,0,1,0,0,3,0,0,0,0,8,0,197,7,132,Eukaryota;Jakobida;Jakobida;Jakobida;Seculamonas;Seculamonas;Seculamonas ecuadoriensis,Seculamonas ecuadoriensis:221724
ASV_43:8baf6355baa2194e73f7cfa150f70467e2d6fb5a,7,403,7,199,337,219,14,12,236,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,99,0,0,7,0,0,1,0,0,30,189,15,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,Obelia longissima:32570
ASV_44:a0afd16d68c4ab9bf7ae6971acbd6c797cffa807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,34,0,20,0,13,16,107,10,2,30,22,68,53,161,16,825,153,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Ophryotrocha;Ophryotrocha puerilis,Ophryotrocha puerilis:169124
ASV_45:c1f1b31623ae60350646630a40e37d4250320cd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2473,0,2,0,18,0,24,30,0,0,0,0,0,72,0,0,7,0,0,0,0,0,Eukaryota;Chordata;Aves;Passeriformes;Laniidae;Lanius;Lanius sphenocercus,Lanius sphenocercus:219214
ASV_46:f220c00d1c519f38e4f7bee52ffb6535260a79ba,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,204,25,0,504,0,19,462,141,39,4,12,0,4,5,1,0,0,0,0,0,0,0,0,Eukaryota;Chlorophyta;Pycnococcaceae;Pycnococcaceae;Pycnococcaceae;Pycnococcus;Pycnococcus provasolii,Pycnococcus provasolii:41880
ASV_47:00b49723306e996fe89c5473083c5051086b2b06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,195,1,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Ascidiacea;Aplousobranchia;Didemnidae;Diplosoma;Diplosoma spongiforme,Diplosoma spongiforme:286194
ASV_48:063f3832560f274fec30f13cad2320ffe2c144f4,4,3,11,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Gitana;Gitana sarsi,Gitana sarsi:1732149
ASV_49:10b3df6d55eecb4f14f3fed034d0ff037b76e539,0,0,0,0,0,0,1,2,0,730,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Chondracanthidae;Chondracanthus_1;Chondracanthus irregularis,Chondracanthus irregularis:2172681
ASV_50:1101d813b35c6141d3e4a3047e5f09bfc2383042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,928,0,0,0,5,0,0,11,0,1,8,0,0,9,0,0,3,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Lanassa;Lanassa venusta,Lanassa venusta:2716593
ASV_52:36994937c7a7fd765a7f5741a7392a7bd39b117f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,31,0,7,43,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;Watersipora subtorquata,Watersipora subtorquata:193294
ASV_53:52aa572f1b8cb960f3975ef0f626ba1e7de0a1bf,0,0,0,0,0,0,12,7,0,927,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe imbricata,Harmothoe imbricata:61848
ASV_54:55feb05ad8fa8a5b913e954e2b6b06216a71c4ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,93,1,8,353,0,33,0,2,8,0,0,30,0,327,63,0,0,0,0,2,Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Algia;Algia fasciata,Algia fasciata:681764
ASV_55:7adaef71f22b1f22355369108937dfa3aba09ca3,0,8,1,14,34,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,3,9,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Ischyroceridae;Jassa;Jassa marmorata,Jassa marmorata:385027
ASV_56:bbcaae0fe69f6af48c9fb50872d60e3467cf24cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Hemiptera;Miridae;Tuxedo;Tuxedo elongatus,Tuxedo elongatus:2127003
ASV_57:bbeb3ca3a65b82152324d7b1fc733e080539056a,8,170,7,0,73,1,2,61,317,6,21,0,0,0,0,0,0,3,2,0,1,0,4,1,4,3,1,2,67,0,0,1,0,11,5,0,0,0,8,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia gregaria,Clytia gregaria:27801
ASV_58:c0b8915ba642273676b208106dc2cd9c3985bde1,0,0,0,0,0,0,5,192,12,398,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Nereimyra;Nereimyra punctata,Nereimyra punctata:222006
