ASV_number:amplicon,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1,Classification,TAXON:NCBI_TAX_ID
ASV_14:7b2f8fe62612464063e8164e3c431d76c8fe3cbc,3,Eukaryota;Saprolegniales;Oomycota_2;Saprolegniales;Saprolegniaceae;Achlya;Achlya hypogyna,Achlya hypogyna:1202772
ASV_15:91bbdc80ad5770d03149ce084d1082d6223a8deb,3,Eukaryota;Rhodophyta;Florideophyceae;Gracilariales;Gracilariaceae;Gracilaria;Gracilaria cuneifolia,Gracilaria cuneifolia:340450
ASV_16:b7d68a11638c4b6b6c980ca8c0f9e0ec889272e8,3,Eukaryota;Ochromonadales;Synurophyceae_1;Ochromonadales;Ochromonadaceae;Cornospumella;Cornospumella fuschlensis,Cornospumella fuschlensis:1545452
ASV_17:19c6ad736c20696dc63c3030d3e3a6075d01064b,2,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,Navicula ramosissima:265559
ASV_18:3f52f35119be660290ad8c94cdbd98ff3967e0ec,2,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Sellaphoraceae;Sellaphora;Sellaphora lanceolata,Sellaphora lanceolata:433413
ASV_19:6c0543c83361e62759a5bc5183e12a912565466a,3,Eukaryota;Ectocarpales;Phaeophyceae_16;Ectocarpales;Ectocarpaceae;Ectocarpus;Ectocarpus fasciculatus,Ectocarpus fasciculatus:43935
ASV_20:9703814161148997c5d4c1599f0a53a2ee33fdc6,4,Eukaryota;Chromeraceae;Chromeraceae;Chromeraceae;Chromeraceae;Chromera;Chromera velia,Chromera velia:505693
ASV_21:e34ebcf998ace44fc50148dd6c1f7023a6becbbb,2,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Mayamaea;Mayamaea permitis,Mayamaea permitis:1302819
ASV_22:eb1d9dea1bb823b42de061a31e007f2e28a1c243,4,Eukaryota;Arthropoda;Insecta;Hymenoptera;Tenthredinidae;Colochela;Colochela zhongi,Colochela zhongi:2675636
ASV_23:00b99281fe206384bf7f603c748da4a417ca93ca,1,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Isospora;Isospora superbusi,Isospora superbusi:1793134
ASV_24:0375a235dbc477848fd695efe601ecdbb183ccd4,1,Eukaryota;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;Asterias rubens,Asterias rubens:7604
ASV_25:0838e1935a54746d8952940b5b64b4d40b581061,1,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,Navicula ramosissima:265559
ASV_26:096a556aaec0b91002830fc65a5c8e2aacd689fd,2,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Berkeleya;Berkeleya fennica,Berkeleya fennica:1577906
ASV_27:0a991b2b237ca69d0fa20094e173d37b511acb35,1,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Delesseriaceae;Caloglossa;Caloglossa beccarii,Caloglossa beccarii:131038
ASV_28:0cc68c51f13eb7d7792a7e810ff016ee250ddf8a,2,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Hediste;Hediste diversicolor,Hediste diversicolor:126592
ASV_29:1180ffaeef9fece4d8015a76f2d6f53af79ac6a1,1,Eukaryota;Mollusca;Gastropoda;Siphonariida;Siphonariidae;Siphonaria;Siphonaria gigas,Siphonaria gigas:1087063
ASV_30:153419daf230afef94c940358bbcb8e8a230210c,1,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia subcommutata,Pinnularia subcommutata:1089238
ASV_31:1805b043a16296d2da3f94d271d5bd578983dfee,1,Eukaryota;Mollusca;Gastropoda;Neogastropoda;Conidae;Conus;Kalloconus canariensis,Kalloconus canariensis:2750724
ASV_32:191e0cfd9cf10257b7fc5c19869a1c9b62e26e82,1,Eukaryota;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula griseocarnosa,Russula griseocarnosa:466936
ASV_33:1dc809cd013255117b64cdac8861116278d5a768,1,Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides,Thalassionema nitzschioides:33649
ASV_34:2477888e226b3a6c8036dc8d573a2c2cb349f0a6,2,Eukaryota;Ectocarpales;Phaeophyceae_16;Ectocarpales;Ectocarpaceae;Ectocarpus;Ectocarpus subulatus,Ectocarpus subulatus:1535423
ASV_35:28785a1a76f9d82d3a345daa6e0f20a390926789,2,Eukaryota;Imbricatea;Euglyphida;Euglyphida;Cyphoderiidae;Cyphoderia;Cyphoderia ampulla,Cyphoderia ampulla:178375
ASV_36:29ad46daacd32d2578700b71eda7b88b1cc7f07d,1,Eukaryota;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Nadvornikia;Nadvornikia sorediata,Nadvornikia sorediata:2575987
ASV_37:2ead2ba9f0f588a4ec1fe706f218b711c0ef42a9,1,Eukaryota;Chordata;Lepidosauria;Squamata;Phrynosomatidae;Sceloporus;Sceloporus uniformis,Sceloporus uniformis:1835718
ASV_38:318169ce4a9f198fcdd8099b8bc38ccea396919d,1,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Nitokra;Nitokra spinipes,Nitokra spinipes:1155070
ASV_39:33aeff78417cc85f99378380026cef8a9997851c,2,Eukaryota;Rotifera;Bdelloidea;Rotaria;Rotaria;Rotaria;Rotaria rotatoria,Rotaria rotatoria:231624
ASV_40:33f2495ab750b43127c1c6bd9937058638c914f9,1,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia subcommutata,Pinnularia subcommutata:1089238
ASV_41:39f3ddf2ffb2eb96bb217eb126ea2428a12ff121,1,Eukaryota;Acanthocephala;Eoacanthocephala;Neoechinorhynchida;Tenuisentidae;Paratenuisentis;Paratenuisentis ambiguus,Paratenuisentis ambiguus:185730
ASV_42:3f1cd666abb1c1d21d3f68dd6b614c3e412700cb,1,Eukaryota;Arthropoda;Insecta;Lepidoptera;Erebidae;Lymire;Lymire strigivenia,Lymire strigivenia:1945682
ASV_43:4219b65eb05d95340ebe6550f7f5b5f29b7c9f04,1,Eukaryota;Ascomycota;Sordariomycetes;Diaporthales;Juglanconidaceae;Juglanconis;Juglanconis oblonga,Juglanconis oblonga:1940568
ASV_44:49ee75a0793bcf75a14d9ee8e6c33ba616797a01,1,Eukaryota;Streptophyta;Zygnemophyceae;Desmidiales;Gonatozygaceae;Gonatozygon;Gonatozygon brebissonii,Gonatozygon brebissonii:184482
ASV_45:4b698ab25ed725d3673ad1d9435de7234e659dfa,1,Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii,Ditylum brightwellii:49249
ASV_46:4de7944465b7c3a7b80299c41b6c635aa61f5554,1,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,Navicula ramosissima:265559
ASV_47:53959dce49955dc1b2cdfc4dcd16d908022f173d,1,Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis japonica,Psammoneis japonica:517775
ASV_48:5474e53f8ba1b2b4738ec36e539c19a5254415ee,1,Eukaryota;Arthropoda;Arachnida;Trombidiformes;Trombiculidae;Leptotrombidium;Leptotrombidium palpale,Leptotrombidium palpale:436350
ASV_49:57fc60801bf90d57859f2dfc3a03aba5a1a96a2f,1,Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium perenne,Lolium perenne:4522
ASV_50:5b51019001e991ce8ae04952169db9aa85687991,1,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_51:67be5c9585029850569189812bbe142458a681e7,1,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Delesseriaceae;Platysiphonia;Platysiphonia delicata,Platysiphonia delicata:2006979
ASV_52:6ae792544df5265929d1f39dd38202510fb29d95,2,Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus;Mytilus galloprovincialis,Mytilus galloprovincialis:29158
ASV_53:6e5731f0036b8fcbb9f00a82e921b061ce67801c,1,Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Cladonematidae;Staurocladia;Staurocladia wellingtoni,Staurocladia wellingtoni:168794
ASV_54:6f7de5f45ef59b6fc5316a2989c2518a27c2a5d2,1,Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Cladonematidae;Cladonema;Cladonema pacificum,Cladonema pacificum:499903
ASV_55:71358993d181845a897ce83e02c218fe18c41cef,1,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Nitokra;Nitokra spinipes,Nitokra spinipes:1155070
ASV_56:7ac4a93c0fa6d4e61a2ff9dcf79634a1d706e10c,1,Eukaryota;Ectocarpales;Phaeophyceae_16;Ectocarpales;Ectocarpaceae;Ectocarpus;Ectocarpus subulatus,Ectocarpus subulatus:1535423
ASV_57:7d2f1009c2ace50d1f60362d44dd72ce3f11f293,1,Eukaryota;Discosea;Himatismenida;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium marrii,Cochliopodium marrii:2652063
ASV_58:7f148fa57aea660f64ebdba87f8262cc15014f00,1,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Gredgaria;Gredgaria maugeana,Gredgaria maugeana:2007213
ASV_59:82ccb4ee01ec7c051c92b69a2f7096b5631397b3,1,Eukaryota;Arthropoda;Insecta;Plecoptera;Capniidae;Allocapnia;Allocapnia aurora,Allocapnia aurora:608846
ASV_60:904e5eae37e77c23bf3019b0839b7a07d63bb23a,1,Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella;Blastocladiella emersonii,Blastocladiella emersonii:4808
ASV_61:92097ec776f9445160920424e657cebee9fc7805,1,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia subtilissima,Polysiphonia subtilissima:2730943
ASV_62:95ee1c63039182a4ba52ff0401717d57161045bc,1,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Berkeleya;Berkeleya fennica,Berkeleya fennica:1577906
ASV_63:96ddfe8e9859f31664324b065a4976203d80dc89,1,Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Halocladius;Halocladius variabilis,Halocladius variabilis:611483
ASV_64:978405f88f79f3ff019d9ca8799b391804c1587c,1,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Laurencia;Laurencia snackeyi,Laurencia snackeyi:1858662
ASV_65:a800dea15c85d56f201bfe7c5a51188d2ed74d9c,1,Eukaryota;Rhodophyta;Florideophyceae;Nemaliales;Galaxauraceae;Tricleocarpa;Tricleocarpa australiensis,Tricleocarpa australiensis:2492669
ASV_66:a970c66564aebf0dbb5d08cbae9ec733d647141a,1,Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Hannaella;Hannaella oryzae,Hannaella oryzae:4979
ASV_67:a97c7a98e51157ac51be4ea877b5cf9225d93b0f,1,Eukaryota;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Korotnevella;Korotnevella limbata,Korotnevella limbata:1825507
ASV_68:acd89c3acaf80dd8d61ee6f2aaeff7bfce71be18,1,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_69:ae162e8573950a9a4e091a2eba1ed9c36a679337,1,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_70:b2dff2bdfd5387dcdf2c8736c25a5ecdefe5f6ee,1,Eukaryota;Annelida;Clitellata;Haplotaxida;Naididae;Paranais;Paranais botniensis,Paranais botniensis:380451
ASV_71:b7efec6904fd023bafb9e2a3fe6a8dea81c66933,1,Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadellidae;Tituria;Tituria sagittata,Tituria sagittata:2777317
ASV_72:b9271242fea645a7795561bc80da00786b3e3cce,1,Eukaryota;Rhodophyta;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium luxurians,Acrochaetium luxurians:1403498
ASV_73:b960bd6926e4fa891fdac8096625b3ebc3ae1cf7,1,Eukaryota;Annelida;Clitellata;Haplotaxida;Naididae;Paranais;Paranais botniensis,Paranais botniensis:380451
ASV_74:bb16476da5660bc81acf148211dafd1c5edd2742,1,Eukaryota;Platyhelminthes;Monogenea;Gyrodactylidea;Tetraonchidae;Tetraonchus;Tetraonchus monenteron,Tetraonchus monenteron:198446
ASV_75:bb73d99c6b527aabfea9350eae33e12fc1d07d9e,1,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gobiusculus;Gobiusculus flavescens,Gobiusculus flavescens:257540
ASV_76:c205cf84f45abb162e34c823baccc7cbde96d37d,1,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus balanus,Balanus balanus:172567
ASV_77:c636b3b3855183ecf5d76ee9a4db6b0e7c777f70,1,Eukaryota;Saprolegniales;Oomycota_2;Saprolegniales;Saprolegniaceae;Achlya;Achlya hypogyna,Achlya hypogyna:1202772
ASV_78:cb5d3e506d6adb1da5dcec648574b03e51ef6c03,2,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Ostorhinchus;Ostorhinchus selas,Ostorhinchus selas:316374
ASV_79:d3ed013b264c23933a0dbff91500d9514098fc6c,1,Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma;Arthroderma uncinatum,Arthroderma uncinatum:74035
ASV_80:d5615f2068f12076397864c72aa73401f0d1d5b7,1,Eukaryota;Fucales;Phaeophyceae_5;Fucales;Sargassaceae;Hormophysa;Hormophysa cuneiformis,Hormophysa cuneiformis:590120
ASV_81:dff2a3b1266d4f7647aea261fcb350202686d7cf,1,Eukaryota;Sporochnales;Phaeophyceae_9;Sporochnales;Sporochnaceae;Sporochnus;Sporochnus bolleanus,Sporochnus bolleanus:461143
ASV_82:e024208409b8c89045f492f9c0fb914eaa0db9da,1,Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Hottentotta;Hottentotta franzwerneri,Hottentotta franzwerneri:1038076
ASV_83:eb45b468414454fa8ac3386c738538c2d92da815,1,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Vanderwaltozyma;Vanderwaltozyma polyspora,Vanderwaltozyma polyspora:36033
ASV_84:eec23ad52a16a4f06c5f14c150d4d3cf5e05984a,1,Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Dimeregramma;Dimeregramma acutum,Dimeregramma acutum:1453365
ASV_85:f0499b4c748d892e752dee16d4c5d9ee53d9f722,1,Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida;Chaetonotidae;Bifidochaetus;Bifidochaetus veronicae,Bifidochaetus veronicae:1874359
ASV_86:f38c6b09f411d2de5c71603e2557f5646f22e5cc,1,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Amphipleuraceae;Halamphora;Halamphora calidilacuna,Halamphora calidilacuna:2133758
ASV_87:f74694e95c82ab3151c499fe02fb237b6b86e7ef,1,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Nitokra;Nitokra spinipes,Nitokra spinipes:1155070
ASV_88:f7616028826a34669d7732cbc04b151f71f2c341,1,Eukaryota;Platyhelminthes;Monogenea;Gyrodactylidea;Gyrodactylidae;Gyrodactylus;Gyrodactylus gurleyi,Gyrodactylus gurleyi:83195
ASV_89:fae185a49eb98bfc712d219807f0f15968731210,1,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_90:fe6fe2fefafddc0d621f211ddf237193b247d5c1,1,Eukaryota;Eustigmatales;Eustigmatophyceae_2;Eustigmatales;Eustigmataceae;Vischeria;Vischeria stellata,Vischeria stellata:1104407
