EventID,MaterialSampleID,Gene_COI,Gene_COI_negative_control,Gene_COI_demultiplexed,Gene_COI_comment,Gene_ITS,Gene_ITS_negative_control,Gene_ITS_demultiplexed,Gene_ITS_comment,Gene_18S,Gene_18S_negative_control,Gene_18S_demultiplexed,Gene_18S_comment,OriginalSampleID,ReplicateMaterialSampleID,SequencingRunRepeat,SequencingRunComment
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,ERR12541393,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541295,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_MF500_DMSO_A,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,ERR12541394,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541296,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_SF40_DMSO_A,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,ERR7125498,ERR7125582,MiSeq (indices),none,none,none,none,discontinued,ERR7125496,ERR7125581,MiSeq (indices),none,ARMS_VLIZ_ZBE1_20190924-20200303_MT100_A,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,ERR4914228,ERR4914160,MiSeq (indices) / cutadapt (primers),none,ERR4914229,ERR4914218,MiSeq (indices) / cutadapt (primers),none,ERR4914227,ERR4914102,MiSeq (indices) / cutadapt (primers),none,ARMS_VLIZ_ZBE1_20190924-20200303_MT500_A,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,ERR7125478,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125479,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125477,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_VLIZ_ZBE1_20190924-20200303_SF40_A,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,ERR7125497,ERR7125582,MiSeq (indices),none,none,none,none,discontinued,ERR7125495,ERR7125581,MiSeq (indices),none,AZFP2(inside)_2,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,first sequencing run,
ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,ERR4018736,ERR4018737,MiSeq (indices),none,ERR4018735,ERR4018475,MiSeq (indices),none,ERR4605228,ERR4605902,MiSeq (indices) / cutadapt (primers),none,AZFP2(inside)_1,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,first sequencing run,
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,none,none,none,no successful amplification,none,none,none,discontinued,none,none,none,no successful amplification,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_MF100_DMSO_A,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,ERR12541395,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541297,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_MF500_DMSO_A,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40,ERR12541396,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541298,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_SF40_DMSO_A,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,ERR12541397,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541299,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_MF100_DMSO_A,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,none,none,none,no successful amplification,none,none,none,discontinued,none,none,none,no successful amplification,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_MF500_DMSO_A,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,ERR12541398,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541300,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_SF40_DMSO_A,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,ERR12541399,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541301,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_MF100_DMSO_A,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,none,none,none,no successful amplification,none,none,none,discontinued,none,none,none,no successful amplification,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_MF500_DMSO_A,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,ERR12541400,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541302,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_SF40_DMSO_A,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,none,none,none,none,none,none,none,discontinued,none,none,none,none,unknown,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,none,none,none,none,none,none,none,discontinued,none,none,none,none,unknown,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,none,none,none,none,none,none,none,discontinued,none,none,none,none,unknown,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40_r1,first sequencing run,
ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100,ERR9632090,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632075,ERR9632062,MiSeq (indices),none,ARMS_Bodo_GStraB_190621-201207_MF100,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,first sequencing run,
ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF500,ERR9632091,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632076,ERR9632062,MiSeq (indices),none,ARMS_Bodo_GStraB_190621-201207_MF500,ARMS_Bodo_GStraB_20190621_20201207_MF500_r1,first sequencing run,
ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_SF50_A,ERR9632089,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632074,ERR9632062,MiSeq (indices),none,ARMS_Bodo_GStraB_190621-201207_SF50_Α,ARMS_Bodo_GStraB_20190621_20201207_SF50_A_r1,first sequencing run,
ARMS_Bodo_GStraM_20190621_20201207,ARMS_Bodo_GStraM_20190621_20201207_MF100,ERR9632093,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632078,ERR9632062,MiSeq (indices),none,ARMS_Bodo_GStraM_190621-201207_MF100,ARMS_Bodo_GStraM_20190621_20201207_MF100_r1,first sequencing run,
ARMS_Bodo_GStraM_20190621_20201207,ARMS_Bodo_GStraM_20190621_20201207_MF500,ERR9632094,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632079,ERR9632062,MiSeq (indices),none,ARMS_Bodo_GStraM_190621-201207_MF500,ARMS_Bodo_GStraM_20190621_20201207_MF500_r1,first sequencing run,
ARMS_Bodo_GStraM_20190621_20201207,ARMS_Bodo_GStraM_20190621_20201207_SF50_A,ERR9632092,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632077,ERR9632062,MiSeq (indices),none,ARMS_Bodo_GStraM_190621-201207_SF50_Α,ARMS_Bodo_GStraM_20190621_20201207_SF50_A_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO,ERR9632063,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632060,ERR9632062,MiSeq (indices),none,Motile 125 μm DMSO,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,ERR9632064,ERR9632065,MiSeq (indices),none,none,none,none,discontinued,ERR9632061,ERR9632062,MiSeq (indices),none,Motile 125 μm ETOH,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO,ERR3460468,ERR3460471,MiSeq (indices),none,ERR4018431,ERR4018475,MiSeq (indices),none,ERR4605086,ERR4605902,MiSeq (indices) / cutadapt (primers),none,Motile 500 μm DMSO,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH,ERR3460469,ERR3460471,MiSeq (indices),none,ERR4018432,ERR4018475,MiSeq (indices),none,ERR4605087,ERR4605902,MiSeq (indices) / cutadapt (primers),none,Motile 500 μm ETOH,ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,none,none,none,no successful amplification,ERR4018434,ERR4018475,MiSeq (indices),none,ERR4605089,ERR4605902,MiSeq (indices) / cutadapt (primers),none,Plankton Her Port ETOH,ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_SED,ERR3460470,ERR3460471,MiSeq (indices),none,ERR4018433,ERR4018475,MiSeq (indices),none,ERR4605088,ERR4605902,MiSeq (indices) / cutadapt (primers),none,Sediment Her Port,ARMS_Crete_1HERP_20180928_20190128_SED_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,ERR3460466,ERR3460471,MiSeq (indices),none,ERR4018429,ERR4018475,MiSeq (indices),none,ERR4605084,ERR4605902,MiSeq (indices) / cutadapt (primers),none,Sessile DMSO,ARMS_Crete_1HERP_20180928_20190128_SF_DMSO_r1,first sequencing run,
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,ERR3460467,ERR3460471,MiSeq (indices),none,ERR4018430,ERR4018475,MiSeq (indices),none,ERR4605085,ERR4605902,MiSeq (indices) / cutadapt (primers),none,Sessile ETOH,ARMS_Crete_1HERP_20180928_20190128_SF_ETOH_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20191011,ARMS_Crete_1HERP_20190612_20191011_MF500,ERR7125537,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125538,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125536,ERR7125533,MiSeq (indices) / cutadapt (primers),none,2019_1HERP_ARMS2_MF500,ARMS_Crete_1HERP_20190612_20191011_MF500_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20191011,ARMS_Crete_1HERP_20190612_20191011_MF90,ERR7125540,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125541,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125539,ERR7125533,MiSeq (indices) / cutadapt (primers),none,2019_1HERP_ARMS2_MF90,ARMS_Crete_1HERP_20190612_20191011_MF90_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20191011,ARMS_Crete_1HERP_20190612_20191011_SF,ERR7125543,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125544,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125542,ERR7125533,MiSeq (indices) / cutadapt (primers),none,2019_1HERP_ARMS2_SF1,ARMS_Crete_1HERP_20190612_20191011_SF_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20200210,ARMS_Crete_1HERP_20190612_20200210_MF500,ERR7125546,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125547,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125545,ERR7125533,MiSeq (indices) / cutadapt (primers),none,2020_1HERP_ARMS3_MF500,ARMS_Crete_1HERP_20190612_20200210_MF500_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20200210,ARMS_Crete_1HERP_20190612_20200210_MF90,ERR7125549,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125550,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125548,ERR7125533,MiSeq (indices) / cutadapt (primers),none,2020_1HERP_ARMS3_MF90,ARMS_Crete_1HERP_20190612_20200210_MF90_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20200210,ARMS_Crete_1HERP_20190612_20200210_SF,ERR7125552,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125553,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125551,ERR7125533,MiSeq (indices) / cutadapt (primers),none,2020_1HERP_ARMS3_SF1,ARMS_Crete_1HERP_20190612_20200210_SF_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20200618,ARMS_Crete_1HERP_20190612_20200618_MF500,ERR7125555,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125556,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125554,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS4_200618_Motile_500,ARMS_Crete_1HERP_20190612_20200618_MF500_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20200618,ARMS_Crete_1HERP_20190612_20200618_MF90,ERR7125558,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125559,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125557,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS4_200618_Motile_90,ARMS_Crete_1HERP_20190612_20200618_MF90_r1,first sequencing run,
ARMS_Crete_1HERP_20190612_20200618,ARMS_Crete_1HERP_20190612_20200618_SF,ERR7125561,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125562,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125560,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS4_200618_Sessile,ARMS_Crete_1HERP_20190612_20200618_SF_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500,ERR7125564,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125565,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125563,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS5_200903-210122_Motile_500,ARMS_Crete_1HERP_20200903_20210122_MF500_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF90,ERR7125567,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125568,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125566,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS5_200903-210122_Motile_90,ARMS_Crete_1HERP_20200903_20210122_MF90_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_SF,ERR7125570,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125571,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125569,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS5_200903-210122_Sessile,ARMS_Crete_1HERP_20200903_20210122_SF_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20210625,ARMS_Crete_1HERP_20200903_20210625_MF500,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS6_Crete_1HERP_20200903_20210626_MF500,ARMS_Crete_1HERP_20200903_20210625_MF500_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20210625,ARMS_Crete_1HERP_20200903_20210625_MF90,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS6_Crete_1HERP_20200903_20210626_MF90,ARMS_Crete_1HERP_20200903_20210625_MF90_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20210625,ARMS_Crete_1HERP_20200903_20210625_SF,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS6_Crete_1HERP_20200903_20210626_SF,ARMS_Crete_1HERP_20200903_20210625_SF_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20211012,ARMS_Crete_1HERP_20200903_20211012_MF500,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS7_Crete_1HERP_20200903_20211012_MF500,ARMS_Crete_1HERP_20200903_20211012_MF500_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20211012,ARMS_Crete_1HERP_20200903_20211012_MF90,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS7_Crete_1HERP_20200903_20211012_MF90,ARMS_Crete_1HERP_20200903_20211012_MF90_r1,first sequencing run,
ARMS_Crete_1HERP_20200903_20211012,ARMS_Crete_1HERP_20200903_20211012_SF,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS7_Crete_1HERP_20200903_20211012_SF,ARMS_Crete_1HERP_20200903_20211012_SF_r1,first sequencing run,
ARMS_Crete_2UBPC_20190924_20201211,ARMS_Crete_2UBPC_20190924_20201211_MF500,ERR7125573,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125574,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125572,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_Crete_2UBPC_190924-201211_MF500,ARMS_Crete_2UBPC_20190924_20201211_MF500_r1,first sequencing run,
ARMS_Crete_2UBPC_20190924_20201211,ARMS_Crete_2UBPC_20190924_20201211_MF90,ERR7125576,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125577,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125575,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_Crete_2UBPC_190924-201211_MF90,ARMS_Crete_2UBPC_20190924_20201211_MF90_r1,first sequencing run,
ARMS_Crete_2UBPC_20190924_20201211,ARMS_Crete_2UBPC_20190924_20201211_SF,ERR7125579,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125580,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125578,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_Crete_2UBPC_190924-201211_SF,ARMS_Crete_2UBPC_20190924_20201211_SF_r1,first sequencing run,
ARMS_Crete_2UBPC_20201120_20220901,ARMS_Crete_2UBPC_20201120_20220901_MF500,none,none,none,none,none,none,none,discontinued,none,none,none,none,ARMS_Crete_2UBPC_20201120_20220901_MF500,ARMS_Crete_2UBPC_20201120_20220901_MF500_r1,first sequencing run,
