Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth_min (m),Depth_max (m),Field replicates,Monitoring area,Habitat keywords (env_local),IUCN habitat type,Description,Notes,env_broad_scale,env_local_scale,env_medium_scale,add. info,MarineRegion_larger,MarineRegion_smaller, 
Gulf of Aqaba (Israel),ISR,Eilat,Katza1,29.520000,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Gulf of Aqaba (Israel),ISR,Eilat,Katza2,29.520000,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Gulf of Aqaba (Israel),ISR,Eilat,NR1,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Gulf of Aqaba (Israel),ISR,Eilat,NR2,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Italy,ITA,AdriaticEastCoast,Ven1,45.316667,12.50000,16,16,Ven,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211), 
Italy,ITA,AdriaticEastCoast,Ven2,45.316667,12.5000,16,16,Ven,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211), 
Italy,ITA,AdriaticEastCoast,Ven3,45.316667,12.5000,16,16,Ven,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211), 
Italy,ITA,RavHarbour,RavH1,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavHarbour,RavH2,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavHarbour,RavH3,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavMarina,RavM1,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavMarina,RavM2,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavMarina,RavM3,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),,
Mediterranean (Greece),GRC,Crete,1HERP,35.343153,25.136605,4,4,none,Marina/Harbour,semi-industrial,9.6 - Subtidal Muddy  ,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],soft muddy seabed,Crete Island (http://marineregions.org/mrgid/48617),,
Mediterranean (Greece),GRC,Crete,2UBPC,35.34662,25.27876,21,21,none,UBP,semi-industrial,9.4 - Subtidal Sandy  ,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sand,Crete Island (http://marineregions.org/mrgid/48617),,
Mediterranean (Slovenia),SVN,GulfOfPiran,BojaVida,45.54875,13.5507,22,22,none,LTER site,LHI (Low human influence),,, ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy,Gulf of Piran (http://marineregions.org/mrgid/29864),,
Mediterranean (Slovenia),SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,9,none,Research site,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). ", ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],"sandy mud, with coarse organic elements on the surface",Gulf of Piran (http://marineregions.org/mrgid/29864),,
Mediterranean (Slovenia),SVN,GulfOfPiran,LukaKP,45.564856,13.743586,3,3,none,not provided,industrial,,, ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],human construction [ENVO:00000070],marine anthropogenic structures,Gulf of Piran (http://marineregions.org/mrgid/29864),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP1,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP2,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP3,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP4,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
North Sea (Belgium),BEL,BelgiumCoast,AJJBC89,51.64971,2.789374,20.82,20.82,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243), 
North Sea (Belgium),BEL,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,38,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AJJC86,51.65264,2.79369998,37,37,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AJJCD78,51.65374944,2.79602577,38,38,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AJJCD89,51.64505,2.793074,18.64,18.64,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,7,none,Marina,semi-industrial,"12.2 - Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.  ","ARMS was deployed near marina of Zeebrugge, ARMS attached to tripod, retrieved with acoustic release (no cover crate). Substrate was fine sand-silt (soft-bottom). Very fine silt made filtrations heavy.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748),
